"external_ref","ref","source","country","currency","amount","rate","amount_usd","date_time","date","status","is_accepted","has_cvv_provided","is_chargeback"
nCyEIIGaP5QQ2Wqb-_Rt8,evt_1ESgcCOV7fY1ChY1MkZizZt,GLOBALPAY,US,USD,1020.46,1.0,1020.46,2019-01-01 01:00:00.000 +0100,2019-01-01,true,false,false,false
"1GS5BDKBnauCt-3nHPs6x",evt_1EOALu0AZqEhZBn9ub_nbcE,GLOBALPAY,US,USD,1653.07,1.0,1653.07,2019-01-01 10:36:00.000 +0100,2019-01-01,true,false,false,false
lTsAIkKdGo7Y009yqBCpd,evt_1EOiOA5A29jldBS0TfJ15I-,GLOBALPAY,MX,MXN,2270.79,25.09984809423505,90.47026864363998,2019-01-01 15:24:00.000 +0100,2019-01-01,true,false,false,false
ZQtj3yHyaTyxlGvhdKt8I,evt_1E5UEcb2LL2e4qwmZD6mukK,GLOBALPAY,UK,GBP,459.88,0.8220252316047373,559.4475477379614,2019-01-01 10:36:00.000 +0100,2019-01-01,true,false,false,false
DmQyXYhid18oJiWpsXSZb,evt_1EIlcl6xvGPp7zEpIxK5z7f,GLOBALPAY,FR,EUR,3077.75,0.9193015065576471,3347.9222845230943,2019-01-01 15:24:00.000 +0100,2019-01-01,true,false,false,false
U6IYSmKpBvzV63pCAwOkL,evt_1E2G-omNPvpW5CFkqrL9ANG,GLOBALPAY,CA,CAD,850.59,1.4172664709546088,600.1623670861837,2019-01-01 15:24:00.000 +0100,2019-01-01,true,false,false,false
f3HFG7ahP-CAaNDPTfHCx,evt_1E-O-x0GxWsSQR7ylqxfcbR,GLOBALPAY,MX,MXN,2350.81,25.088388610322998,93.70111554445245,2019-01-02 05:48:00.000 +0100,2019-01-02,true,false,false,false
qRliPYK32-fxuG_8gtzwo,evt_1E9Mg2eDd4zbn9FeAEVDs2J,GLOBALPAY,MX,MXN,2983.89,25.088388610322998,118.93509967285158,2019-01-02 10:36:00.000 +0100,2019-01-02,true,false,false,false
"3t9Nt9ihAZpbXyjWEpcz0",evt_1EeNHCA1E56QN_uw77Ha66V,GLOBALPAY,UK,GBP,496.74,0.8280096048321323,599.9205771299082,2019-01-02 01:00:00.000 +0100,2019-01-02,true,false,false,false
"2wzqGAWXzZ-A89MAJWhah",evt_1EWfevaSyxzJFP_7S2C4-71,GLOBALPAY,UK,GBP,42.19,0.8280096048321323,50.95351521743935,2019-01-02 15:24:00.000 +0100,2019-01-02,true,false,false,false
zmylL4Rge2PBr6z9g8CLi,evt_1Edp39u65v7289yV14ugulp,GLOBALPAY,FR,EUR,2997.61,0.9176829827515507,3266.4984055954314,2019-01-02 01:00:00.000 +0100,2019-01-02,true,false,false,false
vJCUNXj3zil6RTZBgLaTP,evt_1E0sUU9xacvq4kL7Wo2TKMC,GLOBALPAY,FR,EUR,3521.93,0.9176829827515507,3837.850397356133,2019-01-02 05:48:00.000 +0100,2019-01-02,true,false,false,false
yJ_BuRV3ThK9i5Yyzi5pL,evt_1E8Iz0xF-HZ38nZv2Qp3aFq,GLOBALPAY,CA,CAD,1706.84,1.4208987964886006,1201.2396690165633,2019-01-02 01:00:00.000 +0100,2019-01-02,true,true,false,false
CNay9vG2CKGVuZp3J82ZA,evt_1EqCPKpoxJBJSLmsTEBnM92,GLOBALPAY,AE,USD,3301.72,1.0,3301.72,2019-01-02 10:36:00.000 +0100,2019-01-02,true,true,false,false
